ID_ESCOLA,TIPO_ESCOLA,AREA,LOCALIZACAO,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61428711,Publica,Capital,Urbana,2,331.03,2849.45,5.93,Q4_Alto,Q4_Alto,Alto_INSE
61466135,Publica,Interior,Urbana,2,330.78,327.54,5.69,Q4_Alto,Q4_Alto,Alto_INSE
61406261,Publica,NA,NA,2,330.68,301.36,6.13,Q4_Alto,Q4_Alto,Alto_INSE
61408566,Publica,NA,NA,2,329.17,334.6,6.08,Q4_Alto,Q4_Alto,Alto_INSE
61433492,Publica,NA,NA,2,328.47,304.86,6.18,Q4_Alto,Q4_Alto,Alto_INSE
61432486,Publica,Interior,Rural,2,327.9,319.33,5.2,Q4_Alto,Q4_Alto,Alto_INSE
61426237,Publica,Interior,Urbana,2,327.34,319.94,5.38,Q4_Alto,Q4_Alto,Alto_INSE
61454731,Publica,Interior,Urbana,2,327.32,305.73,5.49,Q4_Alto,Q4_Alto,Alto_INSE
61424959,Publica,Interior,Urbana,2,326.97,331.57,5.6,Q4_Alto,Q4_Alto,Alto_INSE
61425760,Publica,Interior,Urbana,2,326.89,320.92,5.6,Q4_Alto,Q4_Alto,Alto_INSE
61466132,Publica,Interior,Urbana,2,326.59,332.2,5.58,Q4_Alto,Q4_Alto,Alto_INSE
61457614,Publica,Interior,Urbana,2,326.49,311.58,4.75,Q4_Alto,Q4_Alto,Medio_INSE
61470543,Publica,Interior,Urbana,2,326.42,326.52,5.25,Q4_Alto,Q4_Alto,Alto_INSE
61470537,Publica,Capital,Urbana,2,326.36,309.5,6.02,Q4_Alto,Q4_Alto,Alto_INSE
61421800,Publica,Interior,Urbana,2,326.35,301.77,5.82,Q4_Alto,Q4_Alto,Alto_INSE
61448619,Publica,Interior,Urbana,2,326.29,327.49,5.79,Q4_Alto,Q4_Alto,Alto_INSE
61417188,Publica,NA,NA,2,324.72,310.18,6.18,Q4_Alto,Q4_Alto,Alto_INSE
61442546,Publica,Interior,Urbana,2,324.44,297.13,6.01,Q4_Alto,Q4_Alto,Alto_INSE
61459377,Publica,Interior,Urbana,2,323.6,321.91,5.89,Q4_Alto,Q4_Alto,Alto_INSE
61466469,Publica,Interior,Urbana,2,322.67,330.66,6.01,Q4_Alto,Q4_Alto,Alto_INSE
61442161,Publica,Interior,Urbana,2,322.62,297.25,5.29,Q4_Alto,Q4_Alto,Alto_INSE
61408071,Publica,Interior,Urbana,2,322.33,301.83,5.3,Q4_Alto,Q4_Alto,Alto_INSE
61433390,Publica,Interior,Urbana,2,321.88,315.11,5.98,Q4_Alto,Q4_Alto,Alto_INSE
61428119,Publica,Interior,Urbana,2,320.86,323.82,5.3,Q4_Alto,Q4_Alto,Alto_INSE
61433439,Publica,Interior,Urbana,2,320.73,257.23,4.72,Q4_Alto,Q1_Baixo,Medio_INSE
61449536,Publica,Interior,Urbana,2,320.56,316.71,5.8,Q4_Alto,Q4_Alto,Alto_INSE
